modelo,tarefas,pool,rep,ms
N:M,10,1,1,25
1:1,10,1,1,2
N:M,10,1,2,13
1:1,10,1,2,2
N:M,10,1,3,14
1:1,10,1,3,3
N:M,10,2,1,5
1:1,10,2,1,3
N:M,10,2,2,8
1:1,10,2,2,3
N:M,10,2,3,8
1:1,10,2,3,3
N:M,10,4,1,3
1:1,10,4,1,3
N:M,10,4,2,3
1:1,10,4,2,3
N:M,10,4,3,5
1:1,10,4,3,3
N:M,10,28,1,3
1:1,10,28,1,3
N:M,10,28,2,3
1:1,10,28,2,3
N:M,10,28,3,3
1:1,10,28,3,2
N:M,10,56,1,3
1:1,10,56,1,3
N:M,10,56,2,3
1:1,10,56,2,3
N:M,10,56,3,3
1:1,10,56,3,3
N:M,100,1,1,101
1:1,100,1,1,14
N:M,100,1,2,79
1:1,100,1,2,19
N:M,100,1,3,65
1:1,100,1,3,18
N:M,100,2,1,33
1:1,100,2,1,16
N:M,100,2,2,49
1:1,100,2,2,18
N:M,100,2,3,54
1:1,100,2,3,18
N:M,100,4,1,25
1:1,100,4,1,15
N:M,100,4,2,22
1:1,100,4,2,16
N:M,100,4,3,28
1:1,100,4,3,14
N:M,100,28,1,7
1:1,100,28,1,10
N:M,100,28,2,12
1:1,100,28,2,20
N:M,100,28,3,10
1:1,100,28,3,18
N:M,100,56,1,18
1:1,100,56,1,18
N:M,100,56,2,11
1:1,100,56,2,14
N:M,100,56,3,13
1:1,100,56,3,19
N:M,500,1,1,366
1:1,500,1,1,66
N:M,500,1,2,358
1:1,500,1,2,62
N:M,500,1,3,327
1:1,500,1,3,65
N:M,500,2,1,172
1:1,500,2,1,65
N:M,500,2,2,171
1:1,500,2,2,63
N:M,500,2,3,175
1:1,500,2,3,67
N:M,500,4,1,100
1:1,500,4,1,69
N:M,500,4,2,88
1:1,500,4,2,56
N:M,500,4,3,79
1:1,500,4,3,62
N:M,500,28,1,32
1:1,500,28,1,55
N:M,500,28,2,48
1:1,500,28,2,54
N:M,500,28,3,33
1:1,500,28,3,52
N:M,500,56,1,35
1:1,500,56,1,50
N:M,500,56,2,42
1:1,500,56,2,50
N:M,500,56,3,40
1:1,500,56,3,56
N:M,1000,1,1,607
1:1,1000,1,1,112
N:M,1000,1,2,620
1:1,1000,1,2,117
N:M,1000,1,3,559
1:1,1000,1,3,107
N:M,1000,2,1,295
1:1,1000,2,1,115
N:M,1000,2,2,338
1:1,1000,2,2,114
N:M,1000,2,3,325
1:1,1000,2,3,119
N:M,1000,4,1,167
1:1,1000,4,1,116
N:M,1000,4,2,183
1:1,1000,4,2,116
N:M,1000,4,3,168
1:1,1000,4,3,111
N:M,1000,28,1,66
1:1,1000,28,1,101
N:M,1000,28,2,60
1:1,1000,28,2,96
N:M,1000,28,3,54
1:1,1000,28,3,102
N:M,1000,56,1,60
1:1,1000,56,1,99
N:M,1000,56,2,71
1:1,1000,56,2,99
N:M,1000,56,3,58
1:1,1000,56,3,102
